size,delay,bif,throughput_mbps,target_next_throughput
192,50.753,0.0,0.03072,0.014079999999999999
88,50.697,0.0,0.014079999999999999,0.0
0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.08671999999999999
542,50.343,0.0,0.08671999999999999,0.0
0,0.0,0.0,0.0,2.37952
14872,50.28284615384616,14600.0,2.37952,2.336
14600,50.333600000000004,0.0,2.336,1.35072
8442,50.200428571428574,49640.0,1.35072,7.942399999999999
49640,50.248588235294115,7300.0,7.942399999999999,1.8687999999999998
11680,50.293375,68312.0,1.8687999999999998,11.39712
71232,50.20414285714286,2044.0,11.39712,0.32703999999999994
2044,50.1815,0.0,0.32703999999999994,0.0
0,0.0,0.0,0.0,0.14464
904,50.2795,0.0,0.14464,0.0
0,0.0,0.0,0.0,0.0664
415,50.2355,0.0,0.0664,0.0
0,0.0,0.0,0.0,0.11424
714,50.20633333333333,88.0,0.11424,0.014079999999999999
88,50.534,0.0,0.014079999999999999,0.07343999999999999
459,50.7045,0.0,0.07343999999999999,0.0
0,0.0,0.0,0.0,0.050879999999999995
318,50.282,0.0,0.050879999999999995,0.0
0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.014079999999999999
88,50.273,0.0,0.014079999999999999,0.0
0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.08512
532,50.18983333333333,0.0,0.08512,0.0
0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0
