timestamp,size,delay,bif,iat_mean,iat_std,throughput_mbps,delay_grad,bif_grad,is_silent,pred_thru
2026-02-07 18:10:15.022,176.0,7.1576e-05,176.0,0.767775297164917,0.0,0.02816,0.0,44.0,0.0,0.4055810272693634
2026-02-07 18:10:23.720,180.0,7.1576e-05,180.0,9.047802925109863,0.0,0.0288,0.0,4.0,0.0,0.480023056268692
2026-02-07 18:10:30.027,272.0,0.0004638143333333333,272.0,3.0274665355682373,3.0273988246917725,0.04352,0.0003922383333333333,92.0,0.0,0.8181899785995483
2026-02-07 18:10:35.167,180.0,6.7625e-05,180.0,5.333784818649292,0.0,0.0288,-0.0003961893333333333,-92.0,0.0,0.6320675611495972
2026-02-07 18:10:39.305,180.0,6.7625e-05,180.0,3.6445722579956055,0.0,0.0288,0.0,0.0,0.0,0.589735209941864
2026-02-07 18:10:40.319,132.0,6.7625e-05,132.0,1.2408154010772705,0.0,0.02112,0.0,-48.0,0.0,0.3594382703304291
2026-02-07 18:10:40.420,88.0,6.7625e-05,88.0,0.29492831230163574,0.0,0.01408,0.0,-44.0,0.0,0.2915307283401489
2026-02-07 18:10:45.421,132.0,6.7625e-05,132.0,4.607687711715698,0.0,0.02112,0.0,44.0,0.0,0.4517022967338562
2026-02-07 18:10:49.165,180.0,6.7625e-05,180.0,3.8407397270202637,0.0,0.0288,0.0,48.0,0.0,0.48480939865112305
2026-02-07 18:10:49.646,184.0,0.043391939,184.0,0.5013680458068848,0.0,0.02944,0.043324313999999996,4.0,0.0,0.31696176528930664
2026-02-07 18:10:52.286,176.0,8.1386e-05,176.0,2.6946051120758057,0.0,0.02816,-0.043310552999999995,-8.0,0.0,0.43326178193092346
2026-02-07 18:11:04.962,264.0,0.00023086333333333334,264.0,6.187551021575928,6.18752646446228,0.04224,0.00014947733333333334,88.0,0.0,0.8209437131881714
2026-02-07 18:11:05.454,180.0,2.4514e-05,180.0,0.8774304389953613,0.0,0.0288,-0.00020634933333333333,-84.0,0.0,0.4749085605144501
2026-02-07 18:11:14.226,184.0,2.4514e-05,184.0,8.530423641204834,0.0,0.02944,0.0,4.0,0.0,0.5683110356330872
2026-02-07 18:11:29.376,360.0,5.79275e-05,360.0,5.063598155975342,7.1602878105962375,0.0576,3.3413499999999994e-05,176.0,0.0,1.2024035453796387
2026-02-07 18:11:35.590,180.0,5.8977e-05,180.0,6.306143522262573,0.0,0.0288,1.049500000000004e-06,-180.0,0.0,0.7757888436317444
2026-02-07 18:11:39.168,184.0,5.8977e-05,184.0,3.525529146194458,0.0,0.02944,0.0,4.0,0.0,0.6957476139068604
